,lemmes,pos
14,"['le', 'aspect', 'gravissime', 'maladie', 'chez', 'certain', 'patient', 'notamment', 'chez', 'personne', 'âgées.la', 'perspective', 'de', 'un', 'mort', 'pénible', 'étouffement', 'le', 'absence', 'de', 'un', 'vaccin', 'nombreux', 'mois', 'de', 'condition', 'vie', 'entraver', 'phénomèn', 'contamination', 'entrain', 'isolement', 'supportable', 'moment', 'finir', 'grave', 'répercussion', 'psychologique', 'tout', 'catégorie', 'sociales.plus', 'grave', 'certainement', 'grand', 'âge']","['DET', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADV', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADJ', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'ADJ', 'DET', 'NOUN', 'ADV', 'ADJ', 'ADV', 'ADJ', 'NOUN']"
15,"['contagion', 'crise', 'sociétal', 'crise', 'economiqu']","['NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADJ']"
16,"['que', 'ce', 'crise', 'fass', 'suffisamment', 'prendre', 'conscience', 'excè', 'société', 'crise', 'économique', 'grave', 'tout', 'conséquence', 'social']","['SCONJ', 'DET', 'NOUN', 'ADJ', 'ADV', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'DET', 'NOUN', 'ADJ']"
17,"['sans', 'doute', 'comportemer', 'de', 'un', 'partie', 'partie', '....', 'assez', 'important', 'oeil', ""'"", 'compatriote', 'critique', 'systématique', 'le', 'individualisme', 'le', 'orgueil', 'le', 'ego', 'me', 'inquiéter', 'plus', 'maladie', '....', 'bien', 'entendre', 'balance', 'avoir', 'tout', 'beau', 'attitude', 'mais']","['ADP', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT', 'ADV', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'ADJ', 'ADJ', 'DET', 'VERB', 'DET', 'NOUN', 'DET', 'NOUN', 'PRON', 'VERB', 'ADV', 'NOUN', 'PUNCT', 'ADV', 'VERB', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'CCONJ']"
18,"['un', 'pandémie', 'long', 'difficilement', 'maîtrisable', 'lequel', 'mesure', 'proposer', 'scientifique', 'monde', 'différents', 'laisse', 'planer', 'doute', 'efficaciter']","['DET', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'PRON', 'NOUN', 'VERB', 'ADJ', 'PROPN', 'DET', 'VERB', 'VERB', 'NOUN', 'VERB']"
19,"['cela', 'danger', 'grave', 'plus', 'fragile', 'tant', 'moyen', 'mettre', 'oeuvre', ""l'"", 'éradiquer', 'test', 'masque']","['PRON', 'VERB', 'ADJ', 'ADV', 'ADJ', 'ADV', 'ADJ', 'VERB', 'NOUN', 'PRON', 'VERB', 'NOUN', 'ADJ']"
20,"['le', 'non', 'respect', 'mesure', 'réclamer']","['DET', 'ADV', 'NOUN', 'ADJ', 'VERB']"
21,"['le', 'inconscience', 'beaucoup', 'citoyen', 'difficulter', 'protéger', 'population', 'lieu', 'public', 'ecoles/', 'supermarché', 'sur', 'et', 'lieu', 'loisir', 'restaurant', 'cinéma', 'muser']","['DET', 'NOUN', 'ADV', 'NOUN', 'VERB', 'VERB', 'NOUN', 'NUM', 'NOUN', 'VERB', 'NOUN', 'ADP', 'CCONJ', 'NUM', 'NOUN', 'ADJ', 'NOUN', 'VERB']"
22,"['adaptation', 'ce', 'vie', 'porter', 'masque', 'partiellement', 'priver', 'liberté', 'promener', 'nez', ""'"", 'air', 'revoir', 'visu', 'gen', 'aimer', 'plus', 'âgé', 'non', 'violence', 'délinquance', 'grandissant']","['NOUN', 'DET', 'NOUN', 'VERB', 'ADJ', 'ADV', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'VERB', 'ADJ', 'ADJ', 'VERB', 'ADV', 'ADJ', 'ADV', 'NOUN', 'NOUN', 'ADJ']"
23,"['peur', 'parent', 'ami', 'malade']","['NOUN', 'NOUN', 'NOUN', 'ADJ']"
24,"['manqu', 'connaisance', 'le', 'évolution', 'nouveau', 'virus-', 'manqu', 'traitement', 'apaiser', 'crise', 'manqu', 'de', 'équipement', 'protection', 'de', 'assistance']","['ADJ', 'NOUN', 'DET', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN']"
25,"['peur', 'de', 'avoir', 'microbe', 'que', 'on', 'savoir', 'dangereux', 'plus', 'âge', 'porteur', 'plus', ""d'"", 'autre', 'pathologie', 'le', 'impression', 'de', 'être', 'pestiférer', ""n'"", 'avoir', 'possibiliter', 'voir', 'plus', 'petit', 'personne', 'rencontrer', 'suspect', 'de', 'être', 'dangereuse', 'de', 'issue', 'visible', 'ce', 'crise']","['NOUN', 'ADP', 'VERB', 'ADV', 'SCONJ', 'PRON', 'VERB', 'ADP', 'ADV', 'ADJ', 'ADJ', 'ADV', 'DET', 'ADJ', 'NOUN', 'DET', 'NOUN', 'ADP', 'AUX', 'VERB', 'ADV', 'AUX', 'VERB', 'VERB', 'ADV', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'ADP', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADJ', 'DET', 'NOUN']"
26,"['difficulte', 'sanitaire', 'sociale', 'politique']","['NOUN', 'ADJ', 'NOUN', 'ADJ']"
27,"['comme', 'jour', ""n'"", 'être', 'connaître', 'aucun', 'vaccin', 'peut-être', 'an', 'deux', 'dit', 'on', 'tests', ""n'"", 'avoir', 'commencer', 'déconfinement', '11/05/2020', 'masque', 'conforme', 'public', 'disponible', 'navigu', 'brouillard', 'de', 'autant', 'plus', 'mauvais', 'gestion', 'gouvernement', 'français', 'ce', 'épidémie', 'comme', 'gouvernement', 'avoir', 'beaucoup', 'menti', 'avoir', 'quoi', 'sceptique', 'gestion', 'prochain', 'semaine', 'mois', 'venir']","['ADP', 'NOUN', 'ADV', 'AUX', 'VERB', 'DET', 'NOUN', 'ADV', 'NOUN', 'NUM', 'NOUN', 'PRON', 'VERB', 'ADV', 'AUX', 'VERB', 'ADV', 'NUM', 'ADJ', 'NOUN', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'ADP', 'ADV', 'ADV', 'ADJ', 'NOUN', 'ADV', 'ADJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADV', 'ADJ', 'VERB', 'PRON', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'VERB']"
28,"['je', 'volontairement', 'confiner', 'mère', '98', 'an', 'je', 'en', '71', 'afin', 'mettre', ""'"", 'hors', 'circuit', 'concierg', 'femme', 'ménager', 'etc.', 'jusque', 'ici', 'portaient', 'assistance', 'minimiser', 'risque', 'contamination', 'me', 'considérer', ""'"", 'en', 'forme', 'crain', 'grand', 'chose', 'personn', 'celui', 'épous', 'avoir', 'fortiori', 'fils', 'compagne', 'le', 'âge', 'vieux', 'maman', 'rendre', 'fragile', 'verre']","['PRON', 'ADV', 'VERB', 'NOUN', 'NUM', 'NOUN', 'PRON', 'ADP', 'PRON', 'ADV', 'VERB', 'PUNCT', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'ADV', 'ADP', 'ADV', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'PRON', 'VERB', 'PUNCT', 'ADP', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'ADJ', 'PRON', 'ADJ', 'AUX', 'X', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADJ', 'VERB', 'ADJ', 'NOUN']"
29,"['-notre', 'santé', '-té', 'personnelle', '-nos', 'rapport', 'familial', '-nos', 'rapport', 'social', ""-l'"", 'économie', 'pays', '-les', 'tension', 'social', '-une', 'crise', 'financier']","['NOUN', 'ADJ', 'ADP', 'NOUN', 'PRON', 'ADJ', 'ADJ', 'AUX', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'PRON', 'NOUN', 'ADJ', 'PRON', 'NOUN', 'ADJ']"
30,"['attraper', 'chose', 'grave']","['VERB', 'NOUN', 'ADJ']"
31,"['que', 'le', 'occasion', 'prendre', 'mesure', 'de', 'urgence', 'liberticide', 'seul', 'fin', 'permettre', 'gros', 'firme', 'se', 'en', 'mettre', 'plus', 'plein', 'poche', 'traiter', 'vrai', 'problème', 'bas']","['SCONJ', 'DET', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'ADJ', 'PRON', 'PRON', 'VERB', 'ADV', 'ADJ', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'ADJ']"
32,"['le', 'pandémie', 'corona', 'virus', 'mal', 'connaître', 'dangeureus', 'plutot', 'imprévisible', 'sans', 'compter', 'crise', 'économique', 'grave', 'aller', 'découler', 'dans', 'certain', 'pays', 'confinemer', 'impossible', 'mettre', 'oelig', 'uvre', 'recherche', 'nourritur', 'quotidien', 'avoir', 'de', 'alternative', 'entre', 'faim', 'covid']","['DET', 'NOUN', 'ADJ', 'NOUN', 'ADV', 'VERB', 'ADJ', 'X', 'ADJ', 'ADP', 'AUX', 'NOUN', 'ADJ', 'ADJ', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'VERB', 'ADJ', 'VERB', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'ADJ', 'AUX', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ']"
33,"['peur', 'proche', 'tomber', 'malades', 'comment', 'aller', 'passer', 'ce', 'nouveau', 'phase', 'rentrer', 'classe', 'repris', 'travail', 'le', 'gravité', 'retomber', 'économique']","['NOUN', 'ADJ', 'VERB', 'ADV', 'ADV', 'VERB', 'VERB', 'DET', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'VERB', 'DET', 'NOUN', 'VERB', 'ADJ']"
34,"['de', 'attraper', 'virus', 'de', 'enmoirrir']","['ADP', 'VERB', 'NOUN', 'ADP', 'VERB']"
35,"['le', 'désociabilité', 'manqu', 'contact', 'vivant', 'conversation', '-', 'téléphone', 'sollicitent', 'même', 'sens', 'incomplet', 'regard', 'le', 'ouïe', 'lui-^m', 'toucher', 'le', 'odorat', 'de', 'ailleurs', 'absent', 'personnellement', ""'"", 'interdire', 'v', 'emmagasiner', 'tant', 'tant', 'de', 'image', 'négatif', 'falloir', 'garder', 'quelque', 'spécimen', 'origine', 'femme', ""n'"", 'ajoute', 'rien', 'solutionn', 'rien', 'tout', 'peur', 'surmultiplier', 'préserve', 'masqu', 'gant', 'sortir', 'faire', 'course', 'prend', 'le', 'air', 'balcon', 'grand', 'merci', 'ciel', 'soleil', '17', 'mars', 'je', 'aérer', 'beaucoup', 'appart', '12e', 'je', 'avoir', 'immense', 'vue', 'sens', 'réellement', 'enfermée', 'conscient', 'privilèg', 'jee', 'peux', 'plaindre', 'ce', 'égard']","['DET', 'NOUN', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'ADJ', 'ADJ', 'DET', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'ADV', 'NOUN', 'ADV', 'PUNCT', 'VERB', 'ADP', 'VERB', 'ADV', 'ADV', 'ADP', 'NOUN', 'ADJ', 'VERB', 'VERB', 'DET', 'NOUN', 'NOUN', 'NOUN', 'ADV', 'VERB', 'PRON', 'ADJ', 'PRON', 'DET', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'ADJ', 'VERB', 'VERB', 'ADJ', 'NOUN', 'DET', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'ADJ', 'ADJ', 'NUM', 'NOUN', 'PRON', 'VERB', 'ADV', 'VERB', 'NOUN', 'PRON', 'AUX', 'ADJ', 'NOUN', 'NOUN', 'ADV', 'NOUN', 'ADJ', 'ADJ', 'ADP', 'ADJ', 'VERB', 'DET', 'NOUN']"
36,"['ce', 'être', 'virus', 'mortel', 'auquel', 'tente', 'de', 'échaper']","['PRON', 'AUX', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'ADP', 'VERB']"
37,"['santé', 'enfant', 'petit-enfant', 'moi', '-', 'même', 'avenir', 'économique']","['NOUN', 'NOUN', 'NOUN', 'PRON', 'PUNCT', 'ADJ', 'NOUN', 'ADJ']"
38,"['inquiet', 'entourage', 'conjoindre', 'traitement', 'cancer', 'opérer', 'avoir', 'quelque', 'année', 'de', 'un', 'grave', 'pb', 'cardiaque', 'savoir', 'responsable', 'contamination', 'peur']","['ADJ', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'VERB', 'AUX', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADJ', 'VERB', 'NOUN', 'NOUN', 'NOUN']"
39,"['le', 'peur', 'mourir']","['DET', 'NOUN', 'VERB']"
40,"['être', 'priver', 'venir', 'enfant', 'petit-enfant']","['AUX', 'VERB', 'VERB', 'NOUN', 'NOUN']"
41,"['abandonner', 'épouse', 'famill', 'réciproquement', 'que', 'le', 'économie', 'mettre', 'flanc', 'décuple', 'malheureux', 'déjà', 'bien', 'nombreux', 'que', 'multiplier', 'violence', ""qu'"", 'on', 'voie', 'fin', 'ce', 'épidémie', ""qu'"", 'on', 'retrouve', 'bilan', 'français', 'mondial', 'comparable', 'celui', 'divers', 'pandémie', 'siècle', 'passer']","['VERB', 'NOUN', 'ADJ', 'ADV', 'SCONJ', 'DET', 'NOUN', 'VERB', 'ADJ', 'NUM', 'ADJ', 'ADV', 'ADV', 'ADJ', 'PRON', 'VERB', 'NOUN', 'PRON', 'PRON', 'NOUN', 'NOUN', 'DET', 'NOUN', 'PRON', 'PRON', 'VERB', 'NOUN', 'ADJ', 'ADJ', 'ADJ', 'PRON', 'ADJ', 'NOUN', 'ADJ', 'VERB']"
42,"['inquietude', 'famill', 'atteindre', 'quji', 'luttent', 'le', 'incertitudede', 'avenir']","['NOUN', 'ADJ', 'VERB', 'VERB', 'ADV', 'DET', 'NOUN', 'VERB']"
43,['comorbiditer'],['VERB']
44,"['en', 'cas', 'contagion', 'virus', 'redoute', 'de', 'être', 'transférer', 'le', 'hopital', 'dont', 'service', 'surcharger', 'vivre', 'seul', 'veuve', 'enfer', 'sentirai', 'plus', 'isolé', 'chez', 'appartement', 'gard', 'contact', 'téléphon', 'entourage']","['ADP', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'ADP', 'AUX', 'VERB', 'DET', 'NOUN', 'PRON', 'NOUN', 'VERB', 'VERB', 'ADJ', 'NOUN', 'VERB', 'ADP', 'ADV', 'ADJ', 'ADP', 'AUX', 'ADJ', 'ADJ', 'ADJ', 'NOUN']"
45,"['un', 'relâchement', 'général']","['DET', 'NOUN', 'ADJ']"
46,"['le', 'après', 'confinement', 'que', 'réserve', '-t', 'il', 'combien', 'temps', 'devoir', 'sortir', 'masquer', 'pour', 'personne', 'bon', 'condition', 'physique', 'pathologie', 'particulier', 'tentation', 'poser', 'masqu', 'dès', 'juin', 'exemple', 'faire', '-t', 'lui', 'courir', 'grand', 'risque', 'et', 'âgé', 'risque', 'élevé', 'avoir', 'accès', 'test', 'dépistage', 'savoir', 'contaminer', 'oui', 'protéger', 'si', 'non', 'exister', '-t', 'il', 'vaccin', 'si', 'oui', 'accès', 'avoir', 'combien', 'temps', 'mois', 'pouvoir', 'on', 'estimer', 'durée', 'risqu', 'contamination', 'etc']","['DET', 'ADP', 'NOUN', 'SCONJ', 'NOUN', 'PART', 'PRON', 'ADV', 'NOUN', 'VERB', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'VERB', 'PART', 'PRON', 'VERB', 'ADJ', 'NOUN', 'CCONJ', 'ADJ', 'ADJ', 'ADJ', 'AUX', 'NOUN', 'DET', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'ADJ', 'SCONJ', 'ADV', 'VERB', 'PART', 'PRON', 'NOUN', 'SCONJ', 'NOUN', 'NOUN', 'AUX', 'ADV', 'NOUN', 'NOUN', 'VERB', 'PRON', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'ADJ']"
47,"['inquiétude', 'plus', 'démunir', 'craindre', 'violence', 'le', 'intérieur', 'famille', 'force', 'le', 'ordre', 'craindre', 'ravage', 'pays', 'pauvreté']","['NOUN', 'ADV', 'VERB', 'ADJ', 'NOUN', 'DET', 'NOUN', 'NOUN', 'NOUN', 'DET', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'ADJ']"
48,"['que', 'on', 'maintienne', 'confiner', 'longtemps', 'prétexte', 'plus', 'fallacieux', 'que', 'retraite', 'sabrer', 'de', 'un', 'partie', '........................', '.............................', '.............................', 'que', 'droit', 'social', 'piétiner', '..........................................................', '........................................', 'et', 'surtout', 'recommence', 'pire']","['SCONJ', 'PRON', 'AUX', 'VERB', 'ADV', 'ADJ', 'ADV', 'ADJ', 'SCONJ', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'PRON', 'NOUN', 'ADJ', 'VERB', 'PUNCT', 'PUNCT', 'CCONJ', 'ADV', 'NOUN', 'ADJ']"
49,"['que', 'dur', 'longtemps', 'desequilibre', 'vie', 'quotidienne', 'surtout', 'seul']","['SCONJ', 'ADJ', 'ADV', 'NOUN', 'NOUN', 'VERB', 'ADV', 'ADJ']"
50,"['un', 'personne', 'respecter', 'confinemer', 'principalement', 'diabétique', 'hypertension']","['DET', 'NOUN', 'VERB', 'VERB', 'ADV', 'ADJ', 'NOUN']"
51,"['le', 'durée', ""'"", 'épisode', 'le', 'conséquence', 'économique', 'social']","['DET', 'NOUN', 'PUNCT', 'NOUN', 'DET', 'NOUN', 'ADJ', 'ADJ']"
52,"['test', 'capacité', 'population', 'résister', 'pouvoir', 'le', 'état', 'devant', 'décision', 'incohérent', 'profiter', 'atteintes', 'liberté', 'benjamin', 'franklin', ""'"", 'un', 'peuple', 'prêt', 'sacrifier', 'liberté', 'sécurité', 'mérite', 'le', 'un', 'le', 'autre', 'finir', 'perdre', 'deux']","['ADJ', 'NOUN', 'NOUN', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADJ', 'PUNCT', 'DET', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'DET', 'PRON', 'DET', 'ADJ', 'VERB', 'VERB', 'NUM']"
53,"['pouvoir', 'vivre', 'normalement', 'se', 'empêcher', 'ainsi', 'se', 'immuniser', 'éviter', 'virus']","['VERB', 'VERB', 'ADV', 'PRON', 'VERB', 'ADV', 'PRON', 'VERB', 'VERB', 'NOUN']"
54,"['le', 'possibilité', 'déplacer', 'librement']","['DET', 'NOUN', 'VERB', 'ADV']"
55,"['peur', 'famill', 'peur', 'peur', 'crise', 'économique', '....']","['NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'PUNCT']"
56,"['j', 'peur', 'attraper', 'séquelle', 'intellectuel']","['VERB', 'NOUN', 'VERB', 'ADJ', 'ADJ']"
57,"['deuxième', 'vague', 'après', 'dé', 'confinemer']","['ADJ', 'NOUN', 'ADP', 'PRON', 'VERB']"
58,"['grand', 'misère', 'tout', 'frange', 'population']","['ADJ', 'NOUN', 'DET', 'NOUN', 'NOUN']"
59,"[""l'"", 'attraper', 'transport', 'commun']","['PRON', 'VERB', 'NOUN', 'ADJ']"
60,"['le', 'vie', ""'"", 'de', 'après', 'le', 'monde', 'profiter', '-t', 'il', 'ce', 'secousse', 'changer', 'écologie', 'économie', 'etc']","['DET', 'NOUN', 'PUNCT', 'ADP', 'ADP', 'DET', 'NOUN', 'VERB', 'PART', 'PRON', 'DET', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'ADJ']"
61,"['pour', 'mà', 'mèr', 'ephad', 'pour', 'petit', 'enfant', 'plus', 'faible']","['ADP', 'AUX', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADV', 'ADJ']"
62,"['précarité', 'accentuer', 'personne', 'déjà', 'marginaliser', 'handicap', 'malheur', 'etc']","['NOUN', 'VERB', 'NOUN', 'ADV', 'VERB', 'ADJ', 'ADJ', 'VERB']"
63,"['sortir', 'chez']","['VERB', 'ADP']"
64,"['tout', 'conscient', 'possible', 'conséquence', 'peur']","['DET', 'ADJ', 'ADJ', 'ADJ', 'NOUN']"
65,"['difficulter', 'faire', 'admettre', 'irresponsable', 'risque', 'que', 'il', 'courir', 'autre', 'respecter', 'consignes', 'sécurité', 'de', 'un', 'second', 'vague', 'de', 'attaque', 'virus', 'conséquencer', 'pouvoir', 'serrer', 'bras', 'enfant', 'petit', 'enfant', 'longtemps', '.......']","['VERB', 'AUX', 'VERB', 'ADJ', 'VERB', 'SCONJ', 'PRON', 'VERB', 'ADJ', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'VERB', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADV', 'PUNCT']"
66,"['le', 'peur', 'de', 'attraper', 'virus', 'compte', 'tenir', 'âge', 'peur', 'que', 'un', 'proche', 'le', 'attrape']","['DET', 'NOUN', 'ADP', 'VERB', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'SCONJ', 'DET', 'NOUN', 'DET', 'NOUN']"
67,"['ètre', 'atteindre', 'virus', 'puis', 'situation', 'économique', 'capacité', 'français', 'se', 'adapter', 'nouveau', 'donne']","['AUX', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'PRON', 'VERB', 'ADJ', 'VERB']"
68,"['nous', 'aller', 'vers', 'crise', 'économique', 'de', 'un', 'ampleur', 'inédit', 'fermeture', 'de', 'entreprise', 'chômage', 'baiss', 'niveau', 'vie', 'beaucoup']","['PRON', 'VERB', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'ADV']"
69,"['être', 'contaminer']","['AUX', 'VERB']"
70,"['redémarrage', 'possible', 'contamination', 'après', '11', 'mai', 'consigne', '-barrages', 'respecter', 'délai', 'long', 'le', 'élaboration', 'de', 'un', 'vaccin']","['NOUN', 'ADJ', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NOUN', 'PRON', 'VERB', 'ADJ', 'ADJ', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']"
71,"['etre', 'porteur', 'savoir', 'contaminer', 'autour', 'je', 'avoir', 'symptôme', 'gérer', 'seul', 'chez', 'le', 'année', 'scolaire', 'étudiant', 'petit', 'enfant', 'lycéen', 'étudiant', 'examen', 'important', 'reporter', 'ce', 'être', 'difficile', 'un', ""'"", 'quinqua', 'proche', 'intermittent', 'indépendant', 'dt', 'le', 'avenir', 'vide', 'contrats', 'le', 'amie', 'vivant', 'seul', 'calfeutrent', 'chez']","['VERB', 'NOUN', 'VERB', 'VERB', 'ADV', 'PRON', 'AUX', 'NOUN', 'VERB', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'ADJ', 'ADJ', 'PRON', 'AUX', 'ADJ', 'DET', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADJ', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADJ', 'ADJ', 'ADP']"
72,"['un', 'grand', 'nombre', 'victimer', 'chez', 'vieux', 'un', 'fort', 'dégradation', 'condition', 'vie', 'chômag', 'diminution', 'fort', 'revenir', 'chez', 'personne', 'déjà', 'difficulter', 'vie', ""'"", 'normal']","['DET', 'ADJ', 'NOUN', 'VERB', 'ADP', 'PROPN', 'DET', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'VERB', 'ADP', 'NOUN', 'ADV', 'VERB', 'NOUN', 'PUNCT', 'ADJ']"
