Id;Caption
881;Que cette crise passe sans remise en cause de notre vie en société !
882;"Aucune pour moi-même
 Beaucoup pour les jeunes générations,"
883;"j'ai 82 ans,  j'ai une fibrose pulmonaire idiopathique , il 15 ans j'ai fais un infarctus muet.
 sans ces 3 raisons je ne serais pas inquiet."
884;le risque pour ceux qui adolescents ou adultes ont des problèmes de santé
885;Très grande contagiosité et gravité des conséquences à la fois sur la santé et sociales, ainsi que la mortalité élevée.
886;"Perte de repères sociaux et du vivre ensemble.
 Stigmatisation de certaines catégories de population : jeunes, vieux, très vieux, actifs, inactifs etc
 Manque d'ingéniosité à trouver des solutions pour ne pas isoler les personnes vulnérables."
887;"Inquiète de  ne pas pouvoir aider mes petits-enfants
 Aspire à partir de Paris pour respirer à la montagne, la campagne"
888;"_ la perte de ma liberté de circuler, de rencontres, d'échanges avec mes ami(e)s
 - une extension dans le temps de la pandémie dont on ne voit pas la fin proche
 - l'atteinte grave de mes proches
 - la grave accentuation des inégalités sociales
 - l'extension du chômage"
889;"une deuxième vague de contamination ,
 Ne pas revoir mes 2 fils , mes 12 petits enfants , mes 8 arrières petits enfants avant des mois,
 Ne pas pouvoir quitter l' île de France fin juin ou début juillet , ou pas de l'été . 
 la situation d'un de mes fils, à l'arrêt depuis 15/12 il a sa propre entreprise d'évènementiel lié aux sports, il a encore 2 enfants à charge.
 Un de mes petits fils, directeur d' un restaurant qui vient de mettre la clé sous la porte : chômage ,une épouse & un bébé de 10 mois...."
890;"1__ Ne pas trouver de médicament permettant de soigner les malades, avant d'avoir un vaccin.
 2__ Que le déconfinement aboutisse à une explosion de cas, et de rajouter un chaos sociétal et social."
892;l,avenir
894;pour mes  enfants et petits enfants
895;"2e vague de la pandémie.
 Conséquences dramatiques dans tous les pays à commencer par les plus pauvres.
 Après la pandémie, recommencer comme avant, sans changer quoi que ce soit dans les choix politiques, économiques et sociaux.
 Gros danger écologique."
896;"pour mes proches et pour les difficultés respiratoires si j'étais atteinte 
 souvenirs lointains de crises d'asthme"
897;Un relâchement des mesures de protection, et des conséquences économiques socialement désastreuses
898;Pour mes enfants et petits enfants et moi même
900;"1/ ne pas 'attraper' ce virus, certes!
 MAIS...
 2/ rester une personne 'à risque' puisque je ne l'aurai pas 'attrapé'
 C'est à dire???
 Tourner en rond sur les risques ou non risques!"
903;"La perte d'un proche ,
 La souffrance des plus fragiles ,
 La monté des extrémismes résultant de la crise économique ,"
904;Difficulty a seprojeter dans l avenir.
905;Le non respect des règles établies.
906;Le haut pouvoir pathogène du coronavirus pour les personnes âgées ,encore aggravé pour les opérés du c&oelig,ur
907;attraper mais surtout transmettre la maladie à des plus jeunes
909;Nous nous apercevons que nous ne connaissons peu de choses sur ce virus. L'inquiétude concerne une immunité quelques fois insuffisante dans l'immédiat et peut-être peu durable, d'où des risques de nouvelle contamination avant que nous disposions d'un vaccin. Quelle sera l'efficacité de ce vaccin : voisine de la grippe ou meilleure ?
910;D'être infecté car je travail au soutien à domicile....
911;ma famille
912;maladie et avenir
913;Suis-je contaminée ou pas ?
916;"Durée de l épidémie ses conséquences très graves sur la vie des français et des
 Hommes en général"
917;"Pertes de liberté . 
 Projets rétrécis
 Craintes pour les jeunes générations 
 Polémiques et affrontements dans la société"
918;cette crise sanitaire recouvre une crise humanitaire, économique et sociétale tout ensemble
919;et durant ma fille âgée de  ans a été atteinte du Covid  19 mois j'ai eu très peur de la perdre
920;je ne souhaite pas m'exprimer à ce sujet.
921;je ne souhaite pas répondre.
922;que la maladie touche un de mes proches et bien sûr que le nombre de contaminés  diminue
923;"- peur de contaminer 
 - peur d'être malade
 - peur de ceux qui ne se protègent pas 
 - peur d'abandonner mes envies 
 - peur de ne pas faire le ménage"
924;Que des proches soient atteints de cette maladie et ne s'en remettent pas. Que le coût économique et social de l'après-crise soit écrasant.
925;De l'attraper, alors, je fais attention à rester confinée.  J'ai un MPOC.
926;aucune, je suis confiné à la campagne, sans risque de contamination
927;Qu un membre de ma famille qui travaille ds le medical soit atteint
930;Essayer de rester confinés pour éviter la contagion.., car nous sommes des sujets à risques, donc on fait attention
931;"Sur le plan personnel, j'ai peur de ne pas revoir mes petits-enfants avant longtemps et cela me brise le coeur.
 En tant que citoyenne, je suis très effrayée par l'énorme crise économique que nous allons vivre : chômage massif, faillites, misères, violences peut-être..."
932;c'st quelque chose de mystérieux, insolite etipas compréhensible
933;Mortalité
934;Situation sans précédent qui rappelle la Grippe espagnole en 1919
935;la santé
936;De ne plus pouvoir voyager
937;"1°), de ne pas recevoir les médicaments adéquats pour me faire soigner,,, entre autre la chloroquinine !!!!
 2°), de mourir seule et non entourée de mes enfants,,,,, ce n'est pas la mort en elle-même qui me fait peur, mais je pense n'être pas arrivée à tout faire ce que je voulais accomplir sur cette terre.
 3°), j'ai encore une maman en vie, et en tant que fille unique, elle en mourra aussi s'il m'arrivait qq chose"
938;Mes inquiétudes vont à ma famille et mes amis proches
939;Il n'y aura probablement pas de retour à la normale
942;trouver de la chloroquine et l'antibiotique ...seuls remèdes efficaces si on les prend au dèbut de l'atteinte.
943;Que va t'il arriver à mes enfants (conséquences professionnelles) et petits enfants (santé) ? Pour le moment ma perception de la maladie est assez sereine mais je pense que cette perception est fortement influencée par le fait que je ne connais, pour le moment, aucun malade...
945;virus contracté par mes proches et surtout ceux qui son fragiles (cancer  pour mon gendre - leucémie gravissime pour l'amoureuse et compagne de mon petit fils aîné)
946;Que les personnes ne respectent pas les consignes du gouvernement.
947;"mes inquiétudes sont multiples: 
 - la santé en espérant que la recherche trouve médicaments et vaccin pour nous immuniser
 - les énormes conséquences économiques qui aggravent notre situation déjà peu reluisante
 - continuer le déclassement de notre pays avec un état incapable de s'attaquer aux dépenses 
  publiques et de fracturer encore davantage notre société
 - mettre de coté notre arrogance mais plutôt s'inspirer des pays qui ont fait mieux gérer avant et 
  pendant cette pandémie."
948;De tomber malade et de ne plus pouvoir sortir
950;"L'avenir des jeunes.
 Perturbations professionnelles des actifs.
 Perte de repères pour l'avenir des ados
 Scolarité perturbée"
951;Que les choix lors du déconfinement  soient plus mercantiles qu'humains
952;JE SUIS inquiète surtout pour mes enfants et petits enfants, surtout ceux qui n'ont pas encore tracé leur avenir.Pour moi qui suis en bonne santé, je ne suis pas trop inquiète
953;Confusions permanentes sur le permis, le mauvais, les oublis... les insatisfactions.
954;Je fais attention, je respecte la distanciation.... je n'ai pas d'inquiétudes
955;Que les gens ne respectent pas les distanciations, ne portent pas de masque, se servent moins du gel hydroalcoolique, continuent à cracher partout, trainent dans les magasins, touchent les aliments, etc..
956;Très inquiet pour l'avenir sanitaire et surtout économique dans le monde entier. Augmentation de la pauvreté, crise sanitaire dans les pays en manque de moyens, nutrition, hygiène, etc.
957;"comment affronter le déconfinement le plus sereinement possible
 financièrement quelles vont être les suites de l'arrêt de la production
 comment vont être assumées les aides financières proposées par l'Etat, est-ce que nos retraites vont en pâtir
 les prises en charges medico sociales vont elles changer"
958;Anxiété d'attraper cette saleté
960;"L'isolement et l'empêchement de sortir quand on veut
  rester cloîtrée m'est insupportable"
961;Avoir a côtoyer gens au supermarché ou faire la queue trop longtemps
962;Manque de mouvements, je suis un bon marcheur et la forêt est à coté.
963;contracter la maladie, être mal soignée, problèmes économiques, approvisionnement, hygiène et liberté
964;"Manque de précision dans les informations
 Manque de moyens de protection malgré les promesse réitérées"
966;ma santé et celle de mes proches puis le risque de paralysie économique
967;Pour nos enfants et les jeunes en général.
968;Au de confinement  la baisse du respect des mesures barrières
970;Continuer a  rester enfermée, sans résultat
971;Catastrophe économique, dégradation violente du climat social, renforcement des mesures liberticides, réapparition de la délation.
972;Ce confinement mal débuté  et peut être mal fini.beaucoup trop  long
973;serons nous capables d'accepter les changements qui inévitablement seront là
974;arriverons nous  à tirer un enseignement positif de cette épreuve
975;Que mon compagnon ou mes enfants et petits enfants attrapent la maladie
976;de l'attraper mais aussi peur de voir mes gamins l'avoir
977;la mort
978;"-de tous ordres (sociétales, éthiques, santé, écologiques etc) sur le devenir du monde et les possibilités que les enseignements éclairants de la crise ne débouchent que sur un emballement de ce qui l'a précédé
 -sur la situation politique et  la gestion tâtonnante et calamiteuse de la crise
 -plus spécifiquement sur la santé, l'hôpital, et l'attention à l'humain"
979;"au plan médical, un retard dans le suivi des malades à l'exclusion des malades atteints du virus
 un retour économique débridé et qui accroitra encore plus les différences entre pays riches et en développement.
 une crise sociale mondiale sans précédent avec de nombreuses révoltes"
980;"durée de la pandémie, pas de vaccin en vue, pas de traitement  efficace en vue 
 nombreuses incertitudes et contradictions tant au niveau du gouvernement que du corps médical 
 les fake news qui brouillent les infos 
 comment faire pour se réunir à plusieurs au resto"
981;Le  voir se déveloper dans le monde et en France par une deuxième vague
982;inquiétude avec le dé confinement proche et ses conséquences pour tous ceux qui doivent reprendre une activité professionnelle. Egalement je redoute les conséquences de la grave crise économique dans laquelle nous trouvons
983;que les gens sortent de nouveau en groupe
984;"Le déconfinement. Je suis allée faire des courses ce matin. Quel monde sur l'autoroute. Les parkings de magasin de bricolage emplis de voitures.
 Donc si 12 jours avant le 11 mai, alors que nous sommes dans le Bas-Rhin donc zone difficile, il y a déjà tant de personnes au-dehors, que j'entends tant de personnes qui attendent le 11 mai comme une fête, je trouve cela très inquiétant. 
 Le manque de masques, de protection, les personnes refusant le port du masque sont des signes très inquiétants aussi."
985;"Comme je pense avoir eu le virus en tout début de confinement (anosmie), je ne suis plus très inquiète pour ma santé physique.
 Par contre j'ai craint une mise à l'écart des personnes âgées (il fut question d'une prolongation de confinement pour les séniors)"
986;peur d'être malade,  de ne plus voir notre proches et nos amis
987;le relâchement de la vigilance de la part d'une partie de la population
989;Pandémie, prise au sérieux tardivement, (une petite grippette !) et depuis gérée en dépit du bon sens ! Trop de recommandations ou interdictions contradictoires, bref le foutoir... devant cet état de fait, beaucoup trop de personnes continuent de se comporter comme si il ne se passait rien !
990;"Mon inquiétude est liée à l'inexpérience des gens qui nous gouvernent , qui s'embrouillent dans leurs propos,
 qui n'osent pas dire la vérité sur la situation réelle et infantilisent la population en se croyant d'essence supérieure. Ils oublient qu'ils sont mortels comme les autres. Le jour où ils en prendront conscience, ils pourront s'exprimer en vérité et dès lors pourront obtenir l'assentiment de tous ces Français qui ont toujours oeuvrés pour le pays en leur âme et conscience et ce dans le silence."
991;De ne plus pouvoir faire des projets
993;avoir une forme grave de la maladie.
994;"Essentiellement portées sur la destruction de l'économie et ses graves conséquences sur l'emploi et l'avenir des jeunes.
 mais il faut citer aussi la destruction du tissu social, sous l'influence malsaine des réseaux sociaux."
995;transmettre à mes proches ce COVID  !!!
996;Je suis immunodéprimé , donc doublement attentif au problème Covid
998;Mon inquiétude repose sur le fait de n'avoir aucune idée de la fin de cette pandémie et le risque que beaucoup de personnes ne soient pas conscientes du danger qui les menace et prennent les mesures sanitaires trop à la légère sans se soucier des risques qu'elles prennent pour elles mêmes et qu'elles font prendre aux autres... Alors qu'en respectant bien les règles les risquent seraient bien moins importants!
999;Mon épouse handicapée dépend de moi. Qu'adviendra-t-il d'elle si je suis malade.
1000;virus invisible et pas de remèdes
1003;Flou sur la maladie
1004;les inquiétudes sont plutôt le déconfinement qui est un véritable dilemme. Faut il s'exposer ou laisser couler l'économie.
1005;"La situation économique et la vie à venir pour les jeunes
 Les conséquences de la peur sur les relations sociales"
1006;Risque de maladie mortelle
1007;attraper ce virus et le transmettre à mon épouse
1008;Tant que je me confine radicalement (petite promenade quotidienne seulement, pas de rencontres ni de courses sauf en pharmacie, livraisons à la maison des denrées alimentaires) je n'ai pas très peur pour moi. Mais j'ai peur pour les membres de ma famille plus jeunes et plus exposés, notamment s'ils doivent reprendre leur travail  et emprunter les transports en commun dans la région parisienne. Et, bien sûr, je crains les effets du déconfinement qui aggraveront les risques. Tout en ayant conscience que cette situation ne peut pas s'éterniser.
1009;"La situation économique et ses conséquences pour les plus fragiles.
 l'avenir des jeunes."
1011;"Même en prenant toutes les précautions préconisées lors des sorties pour les achats de premiére nécessité, on croise des personnes sans masque et on peut difficilement les éviter dans les rayons du supermarché qui est beaucoup plus laxiste qu'au début du confinement.
 On sent un certain relâchement dans la population et la contamination risque de remonter dangereusement."
1012;Sur les répercussions économiques et l'emploi
1013;Je n'ai pas envie de l'avoir car je redoute la réanimation et ses suites si je n'en meurs pas
1014;attraper le covid19 et en sortir diminuée
1015;une mauvaise rencontre en faisant mes courses
1016;attraper le covid 19 et en sortir diminuée
1017;risques d'être infecté notamment pour les enfants et les personnes à risque du fait de leur problème de santé.
1018;inquiétude au titre de la gestion du dé-confinement
1019;Si je meurs, de laisser mon conjoint seul. Si je suis malade, d'avoir des séquelles cognitives
1020;Celles de tout le monde, pour ma famille et moi même
1021;"La maladie d'abord
 L'impact économique ensuite
 La
 Peur que les mauvaises habitudes reviennent très vite"
1022;"Souffrir si dois être intubée.
 Que la France devienne une champs de ruine économiques, où les plus pauvres seraient condamnés à une marginalité sans issue 
 que le niveau de l'école baisse encore plus qu'aujourd'hui et prive les jeunes de la liberté que donnent l'esprit critique, le raisonnement, les connaissances ..."
1023;Être malade
1025;je n'ai pas d'inquiétude particulière, mais très précisément le soucis de ne pas me mettre en situation de danger, en accordant plus que par le passé récent une place à l'hygiène la plus élémentaire et en gardant ses distances comme on savait le faire par le passé
1026;de mourir un peu plus vite que prévu
1027;"Contaminer ma famille et autres personnes
 Devoir être hospitalisee"
1028;Attraper le virus,et surtout,dans ce cas,de disparaître très vite,trop vite
1029;que mon conjoint ou moi soyons contaminés et de disparaître seul et en étouffant
1030;la non vigilance des autres
1031;L'isoLement
1032;Les formes graves de la maladie font peur: grandes douleurs et très grande faiblesse
1033;"la solitude, ne voir personne ...
 la maladie, l'insuffisance respiratoire"
1034;"Possibilité de contamination
 Isolement lié au confinement"
1035;Etre contaminée et le transmettre à ma compagne
1036;"Économique pour l avenir des enfants et petits enfants 
 Psychologique pour les relations sociales ,distanciation des relations d. amitié et de voisinage,difficulté de toucher ses proches et surtout les enfants 
 Culturelle ,là communion née du théâtre, des conférences,des expositions,des concerts,des festivals ne peut pas être seulement virtuelle, la difficulté de voyager à l'étranger empêchera de mieux comprendre le monde et les autres"
1037;"L a dangerosité du virus
 l'arrêt de l'économie
 l'arrêt de la vie sociale (pour moi)"
1038;Attraper le virus
1039;"Voir si possible de comparer à la grippe,qui pour le moment a fait plus de morts
 aurons nous des masques au déconfinement ,combien où quel prix ?
 a ce sujet nous dirons nous la VERITE"
1040;inquiétude d'aller en réa et même si l'on s'en sort, d'avoir beaucoup de mal à récupérer.
1041;vivre souvent avec au fil du temps qui passe
1042;Quand cessera cette pénurie pour les hôpitaux (matériel, vêtements et MEDICAMENTs Quand pourrai-je revoir mes enfants et petits enfants et mes amies Quand aurons-nous des masques efficaces ? Pour les plus à risque comme moi, quand et comment aurons nous ces masques ? Je suis à risque quand nous testerons-nous pour savoir si nous l'avons eu sous une forme bénigne. Cela me permettrait de reprendre des activités pour moi et pour aider les autres. Quand aurons-nous les médicaments adéquats pour lutter contre ce Covid-19 en attendant le vaccin
1043;Quand cessera cette pénurie pour les hôpitaux (matériel, vêtements et MEDICAMENTs Quand pourrai-je revoir mes enfants et petits enfants et mes amies Quand aurons-nous des masques efficaces ? Pour les plus à risque comme moi, quand et comment aurons nous ces masques ? Je suis à risque quand nous testerons-nous pour savoir si nous l'avons eu sous une forme bénigne. Cela me permettrait de reprendre des activités pour moi et pour aider les autres. Quand aurons-nous les médicaments adéquats pour lutter contre ce Covid-19 en attendant le vaccin
1044;mes inquiétudes , c 'est que mes enfants et petits enfants mènent une vie normale , tout simplement. Pour moi , je vis un jour à la fois avec ce qu'il y a de bon chaque jour . Aujourd'hui , je n 'ai pas le virus . tant mieux , merci mon Dieu !
1046;Large contamination qui touche famille et amis longue période d'absence de rencontres réelles de la famille et des amis Conséquences sociales Conséquences économiques Conséquences économiques
1047;Quand pourrais je revoir mes enfants et petits enfants. bien sûr Que sera l'après 11 mai? Quid activités et réunions diverses ? Cette pandémie va t elle s'arrêter ? Comment vivre avec cette menace toujours présente. L'économie en France et dans le monde va t elle se redresser ? Cela va créer bc de chômage et bc de gens sans moyen et a la rue ?? Notre système de santé pourra-t-il continuer à répondre à tous les cas et besoins ? V-a-t-on arriver à tester tout le monde, et à être moins dépedant de l'étranger pour les médicaments, masques etc ?
1048;Quand cessera cette pénurie pour les hôpitaux (matériel, vêtements et MEDICAMENTS) Quand pourrai-je revoir mes enfants et petits enfants et mes amies Quand aurons-nous des masques efficaces ? Pour les plus à risque comme moi, quand et comment aurons nous ces masques ? Je suis à risque quand nous testerons-nous pour savoir si nous l'avons eu sous une forme bénigne. Cela me permettrait de reprendre des activités pour moi et pour aider les autres. Quand aurons-nous les médicaments adéquats pour lutter contre ce Covid-19 en attendant le vaccin
1049;Être bloqué cet été
1050;"en ssouhaitant que l on arrive a endiguer cette pandemie, que l on trouve un vaccin
 que notre vie économiqueest en grande difficulté qu allons nous laisser à nos enfants 
 et petits enfants.......beaucoup de dettes"
1051;Santé membres de la famille et conséquences économiques de la crise
1052;la suite sur l'économie et pour nos successeurs
1053;risque de décès
1054;"L'après.
 La capacités des services d urgence et de soins intensifs.
 La protection des enfants et petits enfants."
1055;une maladie due au covi,  altérations des liens sociaux(famille, amis, associations), sorties culturelles annulées et chômage de proches travaillant dans ce domaine
1057;"Problèmes graves de santé pour nous et nos enfants
 Inquiétude en ce qui concerne l'emploi 
 Risque de fermeture des petites entreprises
 Conséquences  psychologiques du manque de liens sociaux"
1058;Le risque sanitaire bien sûr et le retentissement sur la vie des familles et des couples, ert l'impact sur de très nombreuses entreprises
1059;Atteintes aux libertés individuelles  et aux droits du travail
1062;Ma santé et de ma famille amis
1063;aucune pour le moment: je ne suis pas d'une nature anxieuse à l'avance.
1064;Sur le respect des consignes du déconfinement par les francais.
1065;Ne plus pouvoir me déplacer librement avant longtemps
1066;Si je l'attrape,  je meurs.....
1067;"- pour la génération des enfants et petits-enfants, les conséquences économiques et sociales, le devenir de la société, de la démocratie, la fermeture et le repli...
 - sur le plan personnel :
  dans l'immédiat, l'impossibilité de reprendre les activités bénévoles extérieures, à l'utilité sociale pourtant criante
 les conséquences devenues plus redoutables d'une perte d'autonomie, la maladie et mort dans la solitude, les rites mortuaires escamotés"
1068;Que les mesures limitant nos libertés s'éternisent.
1069;"Possibilité d'une 2ème vague d'épidémie 
 Inquiétude pour la reprise de l'économie"
1070;"Les impréparations de notre société, la gestion des hôpitaux et tous ces spécialistes qui se contredisent .
 La situation économique due au confinement ."
1071;l'isolement social, la dégradation des relations sociales, la montée des idées extrémistes
1072;La crainte de se laisser enfermer dans une bulle qui, au départ , semble protectrice mais qui, en fin de compte détruit les liens sociaux.
1073;"Pas d'inquiétude à titre personnel
 La reprise sera dure pour l'ensemble de la société française, particulièrement pour les catégories défavorisées.
 J'ai conscience de faire partie des privilégié: propriétaire maison individuelle + montant suffisant de ma retraite."
1074;Pour mes enfants educteurs
1075;inquiétude d'attraper le covid 19, de n'avoir pas droit à la réanimation vu mon âge (79 ans), inquiétude de ne jamais revoir ma fille bloquée en Grèce, en camping-car.
1076;Je n'ai pas trop d'inquiétude. Je suis en forme et me mets à l'abri (sorties limitées, masque...).
1078;Aucune
1079;inquiétudes surtout pour nos enfants et petits enfants, d'abord , pour nous, c'est plus difficile mais on s'imagine très bien le problème d'une hospitalisation quand on sait que le système de santé ne peut pas prendre en charge tous les malades qui se présentent , et la situation en France n'a pas changé jusqu'à présent. De plus, les fournitures de masques et de testes continuent à ne pas  suivre
1081;etre surprise dans  mon sommeil par des étouffements : je prends donc les précautions qui s'imposent en évitant les contacts.
1082;qu'on n'arrive pas à maitriser ce virus surtout dans les pays pauvres et qu'il soit économiquement dévastateur pour les plus pauvres
1083;mon épouse en traitement chimio
1084;Les laboratoires du monde entier sont actuellement dans l'incapacité de trouver un remède efficace. Les discours des hommes politiques et des médecins se contredisent régulièrement.
1085;Rester confinée par raison et décliner progressivement
1087;Ne pas arrêter la pandémie
1088;Inquiétude sur la facilité de propagation du virus et sur les réponses insuffisantes de l'exécutif et des autorités sanitaires pour limiter cette propagation dans la phase de déconfinement.
1089;Risque d'attraper la maladie
1090;Crise économique avec montée en puissance du chômage et de la précarité
1092;Inquiétude sur la facilité de propagation du virus et sur les réponses insuffisantes de l'exécutif et des autorités sanitaires pour limiter cette propagation dans la phase de déconfinement.
1093;Chomages  Faim dans le Monde  Tracking
1094;Ne pas pouvoir sortir, ne pas pouvoir me déplacer sans craindre de contaminer des gens ou d'être contaminée moi même.
1095;"attraper le virus
 mais surtout la longue convalescence"
1096;"Pandémie non contrôlée.
 Deuxième vague
 Mutation du virus"
1097;L'après dans 6 mois
1098;ne souhaite pas être contaminée car comorbidité
1099;de le rechoper à nouveau car nous avons déjà été infecté
1102;inquiétudes au niveau économique surtout, allons nous devoir vivre avec moins de pension ??? les enfants vont-ils pouvoir trouver un travail qui ne soit pas payé avec un salaire de misère?
1103;comme je l'ai souligné à là première question,ce sont des effets induits que nous avons de la peine à mesurer pour le moment.
1105;"les pays en voie de développement
 la reprise économique"
1106;"On a une épée de Damoclès au-dessus de nos têtes pour les jours à venir.
 Et ne pas savoir combien de temps va durer la menace.
 L'insouciance et la liberté ne seront plus."
1107;inquiétude d'une deuxième vague post déconfinement , nous n'avons pas été touchés par la 1ère vague mais l'intensité des  précautions prises ne peut pas durer indéfiniment , mon mari est plus âgé et fragile sur le plan respiratoire d'où mon inquiétude
1109;comme j'ai répondu à la première question: ce sont des conséquences difficilement mesurables sur l'emploi ,la précarité , les inégalités et la santé.
1112;#NOM?
1113;retour de la pandémie après confinement.
1114;Pas d'inquiétudes particulières , je fais seulement attention à respecter  les consignes de distance
