;lemmas;pos
27;"['jour', ""n'"", 'connaître', 'aucun', 'vaccin', 'peut-être', 'an', 'deux', 'dire', 'tests', ""n'"", 'commencer', 'déconfinement', '11/05/2020', 'masque', 'conforme', 'public', 'disponible', 'navigue', 'brouillard', 'autant', 'plus', 'mauvais', 'gestion', 'gouvernement', 'français', 'épidémie', 'gouvernement', 'beaucoup', 'mentir', 'quoi', 'sceptique', 'gestion', 'prochain', 'semaine', 'mois', 'venir']";['NOUN', 'ADV', 'VERB', 'DET', 'NOUN', 'ADV', 'NOUN', 'NUM', 'VERB', 'PRON', 'ADV', 'VERB', 'PUNCT', 'NUM', 'NOUN', 'ADJ', 'ADJ', 'ADJ', 'VERB', 'NOUN', 'ADV', 'ADV', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADV', 'VERB', 'PRON', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'VERB']
28;['volontairement', 'confiner', 'mère', '98', 'an', '71', 'afin', 'mettre', 'circuit', 'concierge', 'femme', 'ménage', 'etc.', 'jusque', 'porter', 'assistance', 'minimiser', 'risque', 'contamination', 'considérer', 'forme', 'crain', 'grand', 'chose', 'personne', 'cell', 'épouse', 'fortiori', 'fils', 'compagn', 'âge', 'vieux', 'maman', 'rendre', 'fragile', 'verre'];['ADV', 'VERB', 'NOUN', 'NUM', 'NOUN', 'PRON', 'ADV', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'ADP', 'VERB', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'X', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'NOUN']
29;"['-notre', 'santé', '-té', 'personnel', '-nos', 'rapport', 'familial', '-nos', 'rapport', 'social', ""-l'"", 'économie', 'pays', '-les', 'tension', 'social', '-une', 'crise', 'financier']";['NOUN', 'ADJ', 'X', 'ADJ', 'PROPN', 'NOUN', 'ADJ', 'AUX', 'NOUN', 'ADJ', 'DET', 'NOUN', 'NOUN', 'DET', 'NOUN', 'ADJ', 'DET', 'NOUN', 'ADJ']
30;['attraper', 'chose', 'grave'];['VERB', 'NOUN', 'ADJ']
31;['occasion', 'prendre', 'mesure', 'urgence', 'liberticide', 'seul', 'fin', 'permettre', 'gros', 'firme', 'mettre', 'plus', 'plein', 'poche', 'traiter', 'vrai', 'problème', 'bas'];['NOUN', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'VERB', 'ADV', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'ADJ']
32;"['pandémie', 'corona', 'virus', 'mal', 'connaître', 'dangeureus', 'plutot', 'imprévisible', 'compter', 'crise', 'économique', 'grave', 'aller', 'découler', 'certain', 'pays', 'confinement', 'impossible', 'mettre', 'oelig', 'uvre', 'recherche', 'nourriture', 'quotidien', ""d'"", 'alternative', 'entre', 'faim', 'covid']";['NOUN', 'ADJ', 'NOUN', 'ADV', 'VERB', 'ADJ', 'ADV', 'ADJ', 'VERB', 'NOUN', 'ADJ', 'ADJ', 'VERB', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADJ', 'VERB', 'ADJ', 'PROPN', 'NOUN', 'NOUN', 'ADJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN']
33;['peur', 'proche', 'tomber', 'malade', 'aller', 'passer', 'nouveau', 'phase', 'rentrée', 'classe', 'reprendre', 'travail', 'gravité', 'retombée', 'économique'];['NOUN', 'ADJ', 'VERB', 'NOUN', 'VERB', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'ADJ']
34;['attraper', 'virus', 'enmoirrir'];['VERB', 'NOUN', 'NOUN']
35;"['désociabilité', 'manque', 'contact', 'vivant', 'conversation', 'téléphone', 'solliciter', 'sens', 'incomplet', 'regard', 'ouïe', 'lui-^m', 'toucher', 'odorat', 'ailleurs', 'absent', 'personnellement', 'interdire', 'v', 'emmagasiner', 'tant', 'tant', 'image', 'négatif', 'falloir', 'garder', 'quelque', 'spécimen', 'origine', 'femme', ""n'"", 'ajoute', 'rien', 'solutionne', 'rien', 'peur', 'surmultiplier', 'préserve', 'masque', 'gant', 'sortir', 'faire', 'course', 'prendre', 'air', 'balcon', 'grand', 'merci', 'ciel', 'soleil', '17', 'mars', 'aérer', 'beaucoup', 'appart', '12', 'immense', 'vue', 'sens', 'réellement', 'enfermer', 'conscient', 'privilèg', 'jee', 'pouvoir', 'plaindre', 'égard']";['NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'AUX', 'VERB', 'NOUN', 'ADV', 'ADJ', 'ADV', 'VERB', 'NUM', 'VERB', 'ADV', 'ADV', 'NOUN', 'ADJ', 'VERB', 'VERB', 'DET', 'NOUN', 'VERB', 'NOUN', 'ADV', 'VERB', 'PRON', 'NOUN', 'PRON', 'NOUN', 'VERB', 'VERB', 'NOUN', 'NOUN', 'VERB', 'VERB', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'ADJ', 'NUM', 'NOUN', 'VERB', 'ADV', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'NOUN', 'ADV', 'VERB', 'ADJ', 'ADJ', 'AUX', 'VERB', 'VERB', 'NOUN']
36;['virus', 'mortel', 'auquel', 'tente', 'échaper'];['NOUN', 'ADJ', 'PRON', 'VERB', 'VERB']
37;['santé', 'enfant', 'petits-enfant', 'avenir', 'économique'];['NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADJ']
38;['inquiet', 'entourage', 'conjoint', 'traitement', 'cancer', 'opérer', 'qq', 'année', 'grave', 'problème', 'cardiaque', 'savoir', 'responsable', 'contamination', 'peur'];['ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'VERB', 'AUX', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'NOUN']
39;['peur', 'mourir'];['NOUN', 'VERB']
40;['priver', 'venir', 'enfant', 'petits-enfant'];['VERB', 'VERB', 'ADJ', 'ADJ']
41;"['abandonner', 'épouse', 'famille', 'réciproquement', 'économie', 'mettre', 'flanc', 'décuple', 'malheureux', 'déjà', 'bien', 'nombreux', 'multipli', 'violence', ""qu'"", 'voie', 'fin', 'épidémie', ""qu'"", 'retrouve', 'bilan', 'français', 'mondial', 'comparable', 'celui', 'divers', 'pandémie', 'siècle', 'passer']";['VERB', 'NOUN', 'NOUN', 'ADV', 'NOUN', 'VERB', 'NOUN', 'AUX', 'ADJ', 'ADV', 'ADV', 'ADJ', 'ADJ', 'NOUN', 'PRON', 'NOUN', 'VERB', 'NOUN', 'PRON', 'VERB', 'NOUN', 'ADJ', 'ADJ', 'ADJ', 'PRON', 'ADJ', 'NOUN', 'ADJ', 'VERB']
42;['inquietude', 'famill', 'atteindre', 'quji', 'lutter', 'incertitudede', 'avenir'];['NOUN', 'ADJ', 'VERB', 'ADV', 'VERB', 'NOUN', 'NOUN']
43;['comorbidité'];['NOUN']
44;['cas', 'contagion', 'virus', 'redout', 'transférer', 'hopital', 'dont', 'service', 'surcharger', 'vivant', 'seul', 'veuve', 'enfant', 'sentir', 'plus', 'isolé', 'chez', 'appartement', 'garde', 'contact', 'téléphone', 'entourage'];['NOUN', 'NOUN', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'PRON', 'NOUN', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'ADJ', 'VERB', 'ADV', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN']
45;['relâchement', 'général'];['NOUN', 'ADJ']
46;['après', 'confinement', 'réserve', '-t', 'combien', 'temps', 'devoir', 'sortir', 'masqué', 'personne', 'condition', 'physique', 'pathologie', 'particulier', 'tentation', 'poser', 'masque', 'dès', 'juin', 'exemple', 'faire', '-t', 'courir', 'grand', 'risque', 'âgé', 'risque', 'élevé', 'accès', 'test', 'dépistage', 'savoir', 'contaminé', 'oui', 'protéger', 'non', 'exister', '-t', 'vaccin', 'oui', 'accès', 'combien', 'temps', 'pouvoir', 'estimer', 'durée', 'risque', 'contamination', 'etc'];['ADP', 'NOUN', 'VERB', 'PART', 'PRON', 'ADV', 'VERB', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'PART', 'VERB', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADV', 'ADJ', 'ADV', 'VERB', 'PART', 'NOUN', 'NOUN', 'NOUN', 'ADV', 'NOUN', 'VERB', 'VERB', 'NOUN', 'VERB', 'NOUN', 'CCONJ']
47;['inquiétude', 'plus', 'démunir', 'crainte', 'violence', 'intérieur', 'famille', 'force', 'ordre', 'crainte', 'ravage', 'pays', 'pauvreté'];['NOUN', 'ADV', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADJ']
48;['maintenir', 'confinés', 'longtemps', 'prétexte', 'plus', 'fallacieux', 'retraite', 'sabrer', 'partie', '........................', '.............................', '.............................', 'droit', 'social', 'piétiner', '..........................................................', '........................................', 'surtout', 'recommencer', 'pire'];['VERB', 'DET', 'ADV', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'NOUN', 'ADJ', 'VERB', 'ADP', 'PUNCT', 'ADV', 'VERB', 'ADJ']
49;['dur', 'longtemps', 'desequilibre', 'vie', 'quotidien', 'surtout', 'seul'];['ADJ', 'ADV', 'NOUN', 'NOUN', 'ADJ', 'ADV', 'ADJ']
50;['personne', 'respecter', 'confinement', 'principalement', 'diabétique', 'hypertension'];['NOUN', 'VERB', 'NOUN', 'ADV', 'ADJ', 'NOUN']
51;['durée', 'épisode', 'conséquence', 'économique', 'social'];['NOUN', 'NOUN', 'NOUN', 'ADJ', 'ADJ']
52;['teste', 'capacité', 'population', 'résister', 'pouvoir', 'devant', 'décision', 'incohérent', 'profiter', 'atteinte', 'liberté', 'benjamin', 'franklin', 'peuple', 'prêt', 'sacrifier', 'liberté', 'sécurité', 'mérite', 'fini', 'perdre', 'deux'];['VERB', 'NOUN', 'ADJ', 'VERB', 'VERB', 'ADP', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'PROPN', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'VERB', 'NUM']
53;['pouvoir', 'vivre', 'normalement', 'empêcher', 'ainsi', 'immuniser', 'éviter', 'virus'];['VERB', 'VERB', 'ADV', 'VERB', 'ADV', 'VERB', 'VERB', 'NOUN']
54;['possibilité', 'déplacer', 'librement'];['NOUN', 'VERB', 'ADV']
55;['peur', 'famill', 'peur', 'peur', 'crise', 'économique', '....'];['NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'PUNCT']
56;['peur', 'attraper', 'séquelle', 'intellectuel'];['NOUN', 'VERB', 'NOUN', 'ADJ']
57;['deuxième', 'vague', 'après', 'dé', 'confinement'];['ADJ', 'NOUN', 'ADP', 'DET', 'NOUN']
58;['grand', 'misère', 'frange', 'population'];['ADJ', 'NOUN', 'NOUN', 'NOUN']
59;"[""l'"", 'attraper', 'transport', 'commun']";['PRON', 'VERB', 'NOUN', 'ADJ']
60;['vie', 'après', 'monde', 'profiter', '-t', 'secousse', 'changer', 'écologie', 'économie', 'etc'];['NOUN', 'ADP', 'NOUN', 'VERB', 'PART', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'CCONJ']
61;['mà', 'mère', 'ephad', 'petit', 'enfant', 'plus', 'faible'];['DET', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'ADV', 'ADJ']
62;['précarité', 'accentuer', 'personne', 'déjà', 'marginaliser', 'handicap', 'malheur', 'etc'];['NOUN', 'VERB', 'NOUN', 'ADV', 'VERB', 'NOUN', 'ADJ', 'CCONJ']
63;['sortir', 'chez'];['VERB', 'ADP']
64;['conscient', 'possible', 'conséquence', 'peur'];['ADJ', 'ADJ', 'NOUN', 'NOUN']
65;['difficulté', 'faire', 'admettre', 'irresponsable', 'risque', 'courir', 'respecter', 'consigne', 'sécurité', 'second', 'vague', 'attaque', 'virus', 'conséquence', 'pouvoir', 'serrer', 'bras', 'enfant', 'petit', 'enfant', 'longtemps', '.......'];['NOUN', 'AUX', 'VERB', 'ADJ', 'VERB', 'VERB', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADV', 'PUNCT']
66;['peur', 'attraper', 'virus', 'compte', 'tenir', 'âge', 'peur', 'proche', 'attrape'];['NOUN', 'VERB', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'NOUN']
67;['ètre', 'atteindre', 'virus', 'puis', 'situation', 'économique', 'capacité', 'français', 'adapter', 'nouveau', 'donne'];['AUX', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'VERB', 'ADJ', 'VERB']
68;['aller', 'vers', 'crise', 'économique', 'ampleur', 'inédit', 'fermeture', 'entreprise', 'chômage', 'baisse', 'niveau', 'vie', 'beaucoup'];['VERB', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADV']
69;['contaminer'];['VERB']
70;['redémarrage', 'possible', 'contamination', 'après', '11', 'mai', 'consigne', '-barrages', 'respecter', 'délai', 'long', 'élaboration', 'vaccin'];['NOUN', 'ADJ', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NOUN', 'PROPN', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'NOUN']
71;['etre', 'porteur', 'savoir', 'contaminer', 'autour', 'symptôme', 'gérer', 'seul', 'chez', 'année', 'scolaire', 'étudiant', 'petit', 'enfant', 'lycéen', 'étudiant', 'examen', 'important', 'reporter', 'difficile', 'quinqua', 'proche', 'intermittent', 'indépendant', 'dt', 'avenir', 'vide', 'contrat', 'amie', 'vivant', 'seul', 'calfeutrent', 'chez'];['AUX', 'VERB', 'VERB', 'NOUN', 'ADV', 'NOUN', 'VERB', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'ADJ', 'VERB', 'ADJ', 'NUM', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'ADV', 'ADP']
72;['grand', 'nombre', 'victime', 'chez', 'vieux', 'fort', 'dégradation', 'condition', 'vie', 'chômage', 'diminution', 'fort', 'revenir', 'chez', 'personne', 'déjà', 'difficulté', 'vie', 'normal'];['ADJ', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'VERB', 'ADP', 'NOUN', 'ADV', 'NOUN', 'NOUN', 'ADJ']
73;"['martèlement', 'permanent', 'angoisse', 'interdiction', 'devoir', 'confinement', ""n'"", 'arranger', 'chose', 'autant', 'comprendre', 'interdiction', 'faire', 'profiter', 'immense', 'plage', 'baule', 'plus', 'immense', 'marée', 'bas', '..', 'groupe', '2', 'adulte', 'éventuellement', 'deux', 'enfant', '....', 'déconfinement', 'rendez', 'chez', 'spécialiste', 'opération', 'repousser', '.....']";['ADV', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADV', 'VERB', 'NOUN', 'ADV', 'VERB', 'NOUN', 'VERB', 'VERB', 'ADJ', 'NOUN', 'PROPN', 'ADV', 'ADJ', 'NOUN', 'ADJ', 'PUNCT', 'NOUN', 'NUM', 'NOUN', 'ADV', 'NUM', 'NOUN', 'PUNCT', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'PUNCT']
74;['concerner', 'avenir', 'déconfinement', 'risque', '2èm', 'vague', 'prolongation', 'mesure', 'protection', 'associer', 'difficulté', 'certain', 'personne', 'respecter'];['VERB', 'NOUN', 'PUNCT', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'DET', 'NOUN', 'VERB']
75;['crise', 'long'];['NOUN', 'ADJ']
76;['possibilité', '2èm', 'vague', 'contamination', 'confinement', 'prolonger'];['NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'VERB']
77;"[""d'"", 'inquiétude', 'réel', 'confiance', 'gouvernement']";['DET', 'NOUN', 'ADJ', 'NOUN', 'NOUN']
78;"['risque', 'attraper', 'virus', ""n'"", 'importe', 'ennemi', 'invisible']";['NOUN', 'VERB', 'NOUN', 'ADV', 'VERB', 'NOUN', 'ADJ']
79;"[""n'"", 'mari', 'battre', '5', 'enfant', 'ds', 'pièce', '9m2']";['ADV', 'NOUN', 'VERB', 'NUM', 'NOUN', 'ADP', 'NOUN', 'PROPN']
80;['1-la', 'remettre', 'cause', 'connaissance', 'virologi', 'absence', 'actuel', 'possibilité', 'définir', 'stratégie', 'prise', 'charge', '2-', 'réaction', 'certains', 'politique', 'face', 'allongement', 'espérance', 'vie'];['NOUN', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'PRON', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN']
81;['covid', 'crain', 'insuffisance', 'respiratoire', 'contaminer', 'conjoint', 'dont', 'immunité', 'faible'];['NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'PRON', 'NOUN', 'ADJ']
82;"['incertitude', 'immunité', 'acquérir', 'durée', 'immunité', 'possibilité', 'infecter', 'plusieurs', 'manque', 'immunité', 'population', 'théoriquement', 'atteindre', 'entre', '60', '70', 'cesse', 'épidémie', 'éventualité', 'face', 'incertitude', ""n'"", 'terme', 'aucun', 'vaccin', 'efficace', 'conséquence', 'crise', 'enchaînement', 'aller', 'entraîner', 'médicalement', 'socialement', 'financièrement', 'globalement', 'niveau', 'mondial', 'crainte', 'etat', 'retenir', 'aucun', 'leçon', 'continuer', 'risque', 'replis', 'soi', 'égoïste', 'générateur', 'conflit', 'guerre', 'exacerbation', 'turpitude', 'humain', 'délation', 'jalousi', 'racisme', 'discrimination', 'violence', 'etc']";['NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADJ', 'ADV', 'VERB', 'ADP', 'DET', 'NUM', 'VERB', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADV', 'NOUN', 'DET', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'VERB', 'VERB', 'ADV', 'ADV', 'ADV', 'ADV', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'DET', 'NOUN', 'VERB', 'NOUN', 'ADV', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'ADP']
83;['deuxième', 'vague', 'manifeste', 'automne', 'absence', 'manqu', 'information', 'aucun', 'test', 'depistag'];['ADJ', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'DET', 'NOUN', 'ADJ']
